,OBJECTID,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,Shape__Length,geometry
12,55,67041,Rua Latino Coelho,Local,,30+Bici,Executado,9196,,7df7f63f-9d2f-481d-b382-394d953b8484,16.0289731675582,"LINESTRING (-9.14826812486224 38.7323504855079, -9.148137164866849 38.7323037927639)"
13,58,66716,Rua Ricardo Jorge,Local,,30+Bici,Executado,9196,,0f47c24b-c92a-4672-b31b-1d2065812e86,112.017702831113,"LINESTRING (-9.14007997026769 38.7567452466715, -9.139149455770539 38.7570439516522)"
14,61,462,Avenida Infante Dom Henrique,Principal,Marginal,Pista Ciclável Bidirecional,Executado,9196,,90a3ac94-99d6-466b-82ba-8638b96cd036,167.356894794716,"LINESTRING (-9.133491152848819 38.7075571977731, -9.13346881174771 38.7075013281729, -9.13346307600461 38.7074864936301, -9.133459882249721 38.7074808437121, -9.13345554409557 38.7074756791428, -9.13345017906825 38.7074711398369, -9.13344393251316 38.7074673487703, -9.133436973657419 38.7074644086479, -9.133429884436209 38.7074630660038, -9.13342261141814 38.7074626241426, -9.13341534132563 38.7074630944083, -9.133408260805989 38.7074644647278, -9.133310531289601 38.7074885615775, -9.133230493194411 38.7075249013641, -9.133143675513759 38.7075462362591, -9.13297367024456 38.7075875390837, -9.13292850834199 38.70759788161, -9.13281335510232 38.7076257091252, -9.132792529649629 38.707632326665, -9.132772930016239 38.7076409270849, -9.132707735682789 38.7076773291828, -9.13269539123921 38.7076843808235, -9.13268212291741 38.7076903235685, -9.13256505626623 38.7077412790346, -9.13220190602441 38.7079031614142)"
15,67,67040,Rua Pinheiro Chagas,Local,,30+Bici,Executado,9196,,c874a630-8557-43bc-ab46-7cbdbec38ce0,15.7846482613718,"LINESTRING (-9.14858736185969 38.733623300909, -9.14871512205605 38.7336712821563)"
16,73,101783,Rua Branca Edmée Marques,Local,,30+Bici,Executado,9196,,3e0bcf2d-516f-4d16-8e42-24ce9db1a276,221.967764927423,"LINESTRING (-9.15729693996763 38.7483912830437, -9.15544186231207 38.7489615191466)"
17,78,67002,Avenida Elias Garcia,Local,,30+Bici,Executado,9196,,376b1413-1943-4a10-a29a-c037f4889666,107.86710998376,"LINESTRING (-9.15223811517437 38.7384360507867, -9.15128487060556 38.7385717368612)"
18,84,,Parque Quinta da Granja Norte - Parque Quinta Mata Mouros,Local,,Pista Ciclável Bidirecional,Executado,9196,,8f76a9c1-2eda-41bd-826d-2774a138fab2,205.84724804687,"LINESTRING (-9.193127916839501 38.7549275625638, -9.193134063112669 38.7549270014363, -9.19315233035398 38.7549250763694, -9.19318855132455 38.7549204997818, -9.193232150158551 38.7549137802607, -9.19327955695104 38.7549047482763, -9.19332024614183 38.7548964308354, -9.193379594239371 38.7548829273389, -9.193406407153971 38.7548767402202, -9.19345414632312 38.7548673264398, -9.193487489989851 38.7548619323249, -9.19352139061205 38.754857420883, -9.19354481957294 38.7548549564026, -9.19357164326734 38.7548529143446, -9.19358956825053 38.7548520099545, -9.19361274388654 38.754851382976, -9.193640144299341 38.7548514285108, -9.19365550638901 38.7548518278155, -9.193687310343311 38.7548535083978, -9.193710103297031 38.7548554278623, -9.193740333402991 38.7548589060161, -9.193760966806719 38.7548618993998, -9.193788744511931 38.7548667421942, -9.193847517687731 38.7548811360728, -9.19390436038397 38.7549015804613, -9.193938229565131 38.7549140058326, -9.193971707979131 38.7549270385646, -9.194049086162741 38.754957162212, -9.194124896786221 38.7549866749818, -9.19420693363289 38.7550185401288, -9.194289251652281 38.7550505138442, -9.194388086994801 38.75508890372, -9.194487807177859 38.7551279191502, -9.194562556890929 38.7551576034795, -9.194578231594351 38.7551638459158, -9.19462046768405 38.7551774929681, -9.19465193027856 38.7551847084405, -9.19469419062278 38.755190337209, -9.194720672957381 38.7551916738226, -9.194724211421279 38.7551918524581, -9.194757167015799 38.7551904331818, -9.19478939227997 38.7551879869268, -9.19479686087324 38.7551868863922, -9.19481471938111 38.7551838909205, -9.194827181709041 38.7551814579754, -9.19484034112962 38.7551791357141, -9.19484339180833 38.755179212072, -9.19484551003578 38.7551800772282, -9.19484754112662 38.7551824576336, -9.19485125835528 38.7551979596888)"
19,86,67399,Rua Filipe da Mata,Local,,30+Bici,Executado,9196,,81fb81ff-7e98-4d43-b0e6-3b4733f100ad,316.237026350842,"LINESTRING (-9.16254444510658 38.7411643420539, -9.162462423531229 38.7411633534102, -9.16197869781873 38.7411895962569, -9.16160071728989 38.74120301476, -9.161328654421251 38.7412155896561, -9.159710668220299 38.7412947020755, -9.15970886619985 38.741294789659)"
20,89,67040,Rua Pinheiro Chagas,Local,,30+Bici,Executado,9196,,207b8a9f-613b-4f1f-8f0f-27b53da7dd4f,98.3735358253278,"LINESTRING (-9.15057068120861 38.7342680150446, -9.1497717007303 38.7339734836697)"
21,92,33370,Alameda da Encarnação,Local,,30+Bici,Executado,9196,,7b87b391-9836-4483-86ac-993b0933745f,107.431992797232,"LINESTRING (-9.12141700042122 38.7709084003865, -9.121053026424301 38.771133136978, -9.12066165920111 38.7713767324898)"
22,93,33370,Alameda da Encarnação,Local,,30+Bici,Executado,9196,,e785e3b5-b314-4876-98f8-02cdd6a4e5d0,64.9535409709087,"LINESTRING (-9.12066165920111 38.7713767324898, -9.120269993737219 38.7716058365145, -9.12019492961376 38.7716497448018)"
