,OBJECTID,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,Shape__Length,geometry
195,865,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,9196,,d2b38e15-6c7b-4c0a-80b1-555ae2c0a2c8,220.195496960787,"LINESTRING (-9.14980871491324 38.7244528385283, -9.149719921837301 38.724337772204, -9.149361664718841 38.7239197768121, -9.14870517680751 38.7231723494804)"
196,867,,Rua Inácio Pardelhas Sanchez,Local,,Trilho,Executado,9196,,5c54c892-8467-4bfd-ba38-b3f896d51664,772.266226386906,"LINESTRING (-9.174327026850801 38.7359774378058, -9.17416424313817 38.7360281495762, -9.17397431952417 38.7360991968665, -9.17389652811552 38.7360855903125, -9.173813612716501 38.7360892396553, -9.173697860300541 38.7361088114251, -9.17359539306935 38.7361561988961, -9.173507353679909 38.7362075131567, -9.173313093898059 38.736342712263, -9.1731579099327 38.7365018286088, -9.173150903971811 38.7365076802761, -9.173144934666761 38.7365098931326, -9.1731383832534 38.7365093928224, -9.173128908722081 38.7365073845746, -9.173123002299089 38.7365045515856, -9.17311883411616 38.7364994861199, -9.17311784057947 38.7364951802284, -9.17311872811497 38.7364843457775, -9.17312428239836 38.7364657011564, -9.1732728772211 38.7360747053477, -9.17329005929755 38.7360011606687, -9.17328610042207 38.7359794944182, -9.17327404862422 38.7359667308074, -9.173257483690399 38.7359575829092, -9.173232766545331 38.7359527990941, -9.17321709992679 38.7359553006644, -9.17319412281846 38.7359753377487, -9.17313896087013 38.7360308543525, -9.1727690858401 38.7360401809246, -9.172730059430901 38.7360352121252, -9.172651540386831 38.736034481275, -9.17233743007472 38.7360916192957, -9.17229826442664 38.7360976875188, -9.17228360841276 38.7360942434869, -9.1722778798562 38.7360787730201, -9.172226376746011 38.7359294952458, -9.17217920531213 38.7355937962206, -9.17209328684511 38.7354250540933, -9.171995144103681 38.7352939658136, -9.171907454158919 38.7352002926407, -9.171740322600311 38.7350792082507, -9.17147347624851 38.7348827594313, -9.171124257978439 38.7346075133696, -9.17100012428093 38.7344495602279, -9.170980014594971 38.734175945215, -9.17110012743327 38.7339496178832, -9.171284512035241 38.7337551273327, -9.17146528091819 38.7337464339326)"
197,868,33566,Rua Pardal Monteiro,Principal,,Pista Ciclável Bidirecional,Executado,9196,,debf3cf9-aaaf-47d3-a3f2-918b8ae0960c,601.529722176285,"LINESTRING (-9.125758899549179 38.7606073591099, -9.125731591662881 38.7606465592514, -9.12569978142033 38.7606904441631, -9.125655785530981 38.7607444432317, -9.12565260369823 38.7607483056601, -9.125644312248189 38.7607583736104, -9.12562435347918 38.7607826051919, -9.125599178193349 38.7608110613364, -9.125583000433391 38.7608297892614, -9.125552834107831 38.7608604322718, -9.12553028998747 38.7608810010331, -9.12550281231956 38.760908047082, -9.12548611353674 38.7609221322338, -9.12546804661975 38.7609362278898, -9.12544092198976 38.7609557641298, -9.1254124364121 38.7609760253554, -9.125381629587739 38.7609934468526, -9.12535852491863 38.7610065134981, -9.12532496475793 38.7610228863784, -9.125285487394461 38.7610407393562, -9.125265062399849 38.7610494931765, -9.12524234400629 38.7610575514256, -9.12522415581676 38.7610630690561, -9.125197329427399 38.7610711609263, -9.12515957593099 38.7610814922091, -9.1251231663142 38.7610900246749, -9.1250931338376 38.7610974293778, -9.125036199513231 38.7611075659252, -9.12498381605405 38.7611165908205, -9.12488046128737 38.7611333727518, -9.124714127432711 38.7611610680431, -9.124514591845189 38.761193865564, -9.124419387493051 38.761210046472, -9.124281793439289 38.7612315929913, -9.12410587006902 38.7612548948863, -9.12405298534993 38.7612607059991, -9.123877855192021 38.7612754208051, -9.12380577527192 38.761279965464, -9.12372545330912 38.7612827932672, -9.12360130793348 38.7612863495605, -9.123480318339441 38.761287019211, -9.123357017380171 38.7612855629311, -9.12331954595474 38.7612833781608, -9.12329349750644 38.7612818119067, -9.123234078441961 38.7612773113777, -9.1232016133276 38.761274012157, -9.12312572275407 38.761267147536, -9.123058482058431 38.7612576939711, -9.12297114604989 38.7612434260624, -9.12283916736496 38.7612145259911, -9.122768138473759 38.7611961799244, -9.12270626251699 38.7611791871657, -9.12267325302358 38.761169457603, -9.122642064415221 38.7611593546871, -9.122619133120949 38.7611520417525, -9.122560880069731 38.7611328733146, -9.12250625531393 38.7611118864434, -9.122445203112269 38.7610884528128, -9.12239329306526 38.7610656552045, -9.122327115974921 38.7610347566092, -9.12224849811621 38.7609957409058, -9.122173036937401 38.7609538378245, -9.12210166399144 38.7609104714262, -9.12199110563447 38.7608275162172, -9.12197901071748 38.7608181312407, -9.12195366565007 38.760798468177, -9.121915056957461 38.7607667737248, -9.12188746080526 38.7607511206549, -9.12185709337561 38.7607389819635, -9.12182468464326 38.7607306494432, -9.12182213702112 38.7607301486023, -9.121777497039689 38.7607243717696, -9.12175511680652 38.7607233357438, -9.121732708836239 38.7607238996481, -9.121710053055221 38.7607261128519, -9.121687759834369 38.7607299608745, -9.12168037119118 38.7607316189031, -9.12167500375736 38.7607329470072, -9.121669384795251 38.7607344516314, -9.12165468296732 38.760738532609, -9.12165116336802 38.7607395363922, -9.121647547648999 38.7607405429773, -9.12164147324107 38.7607423411011, -9.121615299073881 38.7607510204812, -9.121589893774059 38.7607609926922, -9.12154805294308 38.7607817947408, -9.12151286683171 38.7608027452843, -9.121505284152409 38.7608081998917, -9.121491882051741 38.7608192809256, -9.12148015827392 38.7608314640992, -9.121466457169189 38.7608507250808, -9.12145842258894 38.7608739292386, -9.121455315364731 38.7608978418597, -9.121455893879761 38.7609126478022, -9.12147153444719 38.7609937907855, -9.12146600337995 38.7610179118254, -9.12145846395978 38.7610416997057, -9.12141499897476 38.761133056138, -9.12137438883574 38.7612200394066, -9.12135641354689 38.7612585394404, -9.121354498338709 38.7612626428032)"
198,869,33492,Avenida Cidade de Luanda,Complementar,,Pista Ciclável Unidirecional,Executado,9196,,9acde926-5e7a-4fd2-aa7d-f2ffbcd34d26,1096.16034017089,"LINESTRING (-9.11021886709239 38.767833093215, -9.11021873953163 38.7678322527265, -9.110215210050869 38.7677870778538, -9.11021685486616 38.7677722222079, -9.110222682237429 38.7676967826545, -9.11022725196726 38.7676276824247, -9.110229671130311 38.7675638338005, -9.110232933811441 38.7674440678345, -9.110234986461871 38.7673720277324, -9.110236260751179 38.7673407615138, -9.110234180673039 38.7673095215697, -9.11022624098378 38.7672660822475, -9.110216142502161 38.7672229162427, -9.11019247638599 38.7671347684991, -9.110187696450369 38.7671125674742, -9.110166339004479 38.767024066585, -9.110155423575449 38.7669706676218, -9.11015275018919 38.7669461838907, -9.11014976239254 38.7669312867451, -9.110144845014659 38.7669131445685, -9.11014008304535 38.766891233447, -9.110135539366659 38.7668705361406, -9.11013379459899 38.7668541881653, -9.11013566153753 38.7668378483927, -9.11014029289373 38.7668255956633, -9.110142811461619 38.7668129737365, -9.110143173249931 38.7668002030766, -9.110134898867869 38.7667713830022, -9.11011528145869 38.7666963759495, -9.110099209699911 38.7666342943491, -9.11009415592245 38.7666251110323, -9.11008762565881 38.766616512464, -9.110079727936361 38.7666086422035, -9.11007485359924 38.7666030602663, -9.110071232094199 38.7665969260323, -9.110068963424309 38.7665904088903, -9.11005970718362 38.7665502552408, -9.11005613548206 38.7665360969555, -9.11002986964146 38.7664271668778, -9.109999415855031 38.7662924064673, -9.10998227869433 38.7662189048204, -9.109977067567369 38.7661939235309, -9.10997019365881 38.7661587083448, -9.109949279980681 38.7660537778159, -9.109924048999311 38.765922429175, -9.109899992116009 38.7657879724971, -9.10987696739697 38.7656620867088, -9.10985262574768 38.7655290626194, -9.109827958009991 38.7653943719566, -9.109806578106239 38.7652775287545, -9.10979405469287 38.7652101506474, -9.10978286258273 38.7651458845026, -9.10977967985168 38.7651304805676, -9.10977192828909 38.7650875621837, -9.109757820247539 38.7650148409809, -9.10973717247076 38.7649021955701, -9.109728499236679 38.7648531216143, -9.10971597223006 38.7647810424734, -9.109692333063339 38.764654791381, -9.10967092082022 38.7645355654737, -9.109652835038631 38.7644370471916, -9.109650781440211 38.7644202007042, -9.109650973729339 38.7644032789495, -9.109656870270889 38.7643757621281, -9.109668109093411 38.7643497134211, -9.10967066244506 38.7643409300474, -9.10967185687616 38.7643319721429, -9.109671675405091 38.7643229670648, -9.109667753360529 38.7642974983043, -9.109651935825029 38.7642215878818, -9.10962922821127 38.7641097082045, -9.109623136735321 38.7640799547524, -9.10961062500005 38.7640175675829, -9.10960922542484 38.7640093310547, -9.10958260385139 38.763882211445, -9.109579634021051 38.7638653145866, -9.109571568946439 38.763832015373, -9.109554511735819 38.7637642338442, -9.10954503810283 38.7637168843081, -9.109539108323659 38.7636838049659, -9.10951890700953 38.7635640934258, -9.1094993452959 38.7634465194588, -9.109495328928279 38.7634198603203, -9.10948147600827 38.7633666491822, -9.10947055698599 38.7633026286364, -9.10946488651402 38.7632545776259, -9.10946300484942 38.7632063458974, -9.109465799508261 38.7630997614584, -9.10947160082835 38.7630416938333, -9.10949757381816 38.7628783365319, -9.109507761611811 38.7628217670026, -9.109524219646129 38.762756207064, -9.10953035378499 38.7627379169028, -9.10953925474905 38.7627203317514, -9.109560501823999 38.7626948579904, -9.109585162253319 38.7626713284422, -9.10960244930202 38.7626585311109, -9.10961712220741 38.7626438829291, -9.109628859003699 38.7626277053191, -9.10963869016617 38.7626117895059, -9.10965219453983 38.76259396564, -9.109741778133211 38.7624682304191, -9.10977614048945 38.762421354935, -9.109784291458819 38.7624102278471, -9.109790723287571 38.7623984356963, -9.10979534826685 38.7623861392879, -9.10980751055749 38.7623521284162, -9.109814914488631 38.7623349056563, -9.109824591124299 38.7623183823027, -9.10989221360394 38.7622546585127, -9.109914205260409 38.7622377920893, -9.10998226521961 38.762183836879, -9.11000727521543 38.7621659995975, -9.11001523249222 38.7621603720795, -9.11015955672409 38.762053044287, -9.110176098301711 38.7620414067796, -9.110332768978861 38.7619221008553, -9.11046386192489 38.7618251942396, -9.110525047077219 38.761780591347, -9.110544477642661 38.7617660588655, -9.110565151464741 38.7617526098052, -9.11062880339084 38.7617143916258, -9.11068725317312 38.7616854385097, -9.11070553748241 38.7616755416043, -9.110797512391089 38.7616262321735, -9.110870403489869 38.7615917796445, -9.110949689695159 38.7615575106217, -9.11124942696275 38.7614284645544, -9.111430387186839 38.7613499677436, -9.11162646695549 38.7612653935551, -9.111760848633789 38.7612075380812, -9.111837701302971 38.7611735280487, -9.11186224091268 38.7611652246437, -9.11188822075794 38.7611602540939, -9.11193848868459 38.7611578234539)"
199,874,5968,Passeio dos Heróis do Mar,Principal,Marginal,Pista Ciclável Bidirecional,Executado,9196,,57b7d004-fa59-4906-b42e-b7ea116e535e,79.7539294541543,"LINESTRING (-9.09801886518509 38.792510399032, -9.09797207823013 38.7927143406366, -9.09789805884736 38.7930608006408)"
200,876,67003,Avenida Visconde de Valmor,Complementar,,30+Bici,Executado,9196,,e8432a7d-9776-4fa2-a1dd-4d67616b673a,38.7129799782986,"LINESTRING (-9.142450131127401 38.7390530449494, -9.14212173670394 38.7391423113431)"
201,877,33425,Avenida Dr. Francisco Luís Gomes,Principal,Olivais - Beato,Pista Ciclável Bidirecional,Executado,9196,,0084ade2-4dd0-43af-a008-8bca8462ac67,295.386384643237,"LINESTRING (-9.11435375664964 38.7691314176572, -9.114359914600911 38.7691581937287, -9.11436249995233 38.7691692473476, -9.11437687030193 38.7692308049491, -9.11438149842227 38.7692505091135, -9.114429426237621 38.7692450236338, -9.11452448416434 38.769235767236, -9.11462429058569 38.7692283507706, -9.11466941745398 38.7692257656185, -9.114725962807841 38.7692231986764, -9.11478166644029 38.769221400066, -9.114850245625741 38.769220177179, -9.114915916964581 38.7692207578052, -9.11497611576671 38.7692197331295, -9.11505416319523 38.769216184936, -9.11514954182052 38.7692084182717, -9.115244300608239 38.7691969101034, -9.115342658047039 38.7691817444765, -9.11544871943768 38.769167477452, -9.11550411225303 38.7691603355339, -9.115560021599681 38.7691563579958, -9.11561874626643 38.7691533680132, -9.11567757873104 38.7691523496401, -9.11579015021255 38.769158165713, -9.115901534121249 38.769169264157, -9.115953280674891 38.7691761539324, -9.116093106143801 38.7691969045002, -9.116169809692661 38.7692054093807, -9.116246839329939 38.7692118614066, -9.116378189194171 38.7692180935084, -9.116440372374781 38.7692189633971, -9.116513578782209 38.7692123698923, -9.11658631447246 38.769203118393, -9.11667410502853 38.7691882777502, -9.11676068196069 38.7691695660268, -9.116807576713439 38.7691584108509, -9.1168559402117 38.769152198355)"
202,878,67040,Rua Pinheiro Chagas,Local,,30+Bici,Executado,9196,,705f811b-f297-48c6-9daa-100b7f4624bb,15.4791197850073,"LINESTRING (-9.1477269393109 38.7332120106297, -9.147603183804099 38.7331625525992)"
203,890,500001,Rua Interior à Alameda da Universidade,Local,,Pista Ciclável Bidirecional,Executado,9196,,05414035-3718-47ff-8b1f-556b11ea97f6,698.303178490459,"LINESTRING (-9.15595074893737 38.7551152892608, -9.155990130181131 38.7551881781718, -9.156000465298471 38.7552133195328, -9.15599163306257 38.7552692471028, -9.15596911948492 38.7553979057065, -9.155965148931379 38.755425114955, -9.155965097565071 38.755427409008, -9.155965469828679 38.7554296849713, -9.155966257981509 38.7554318955196, -9.155967445635079 38.7554339946876, -9.155969008093839 38.7554359388263, -9.156072350284131 38.7555160456509, -9.15609033423093 38.7555250571115, -9.15610922792318 38.7555328548187, -9.15612454440514 38.7555356838558, -9.15614022220951 38.7555367761448, -9.15615593921032 38.7555361092431, -9.156171372476219 38.7555336968532, -9.15623238784694 38.7555154509026, -9.156535422829929 38.7554259093548, -9.15673087916776 38.7553681444188, -9.157000592043619 38.7552826489493, -9.157234825957319 38.7552093349125, -9.15735807032271 38.7551708631392, -9.157367524309359 38.7551671124979, -9.157376211506961 38.7551623662671, -9.15738396066752 38.7551567180077, -9.157396403483091 38.7551495426683, -9.157409864230161 38.7551435886574, -9.15742414680178 38.7551389427182, -9.15747834755275 38.7551217936996, -9.157510258406569 38.7551116969329, -9.15755066911964 38.755098910822, -9.157561959408239 38.7550967320828, -9.157573489921131 38.755095543364, -9.157589444223021 38.7550938148511, -9.15760502697378 38.7550906346572, -9.15762002175452 38.7550860469497, -9.15791804054496 38.7549890855165, -9.157968379877691 38.7549745568627, -9.15802068328331 38.754965150315, -9.15807409755125 38.754961019322, -9.158127751349729 38.7549622312722, -9.158234146015349 38.7549829950807, -9.15829706850945 38.7549959857681, -9.15838572683808 38.7550126164224, -9.158463311144359 38.7550253154122, -9.15854130875708 38.7550363679883, -9.158624119210369 38.7550462493036, -9.158707259031109 38.7550542743031, -9.15873948092417 38.7550571677904, -9.15877188576156 38.7550560804783, -9.158803669858271 38.7550510393334, -9.1588340449245 38.7550421693823, -9.158862257616381 38.7550296906107, -9.15888760821993 38.7550139125077, -9.15890946800492 38.7549952263901, -9.15892439802523 38.754978120327, -9.15893640745214 38.7549596686303, -9.15894530000498 38.7549401728715, -9.158960731264919 38.7548473226777, -9.158967436340109 38.7548117537786, -9.15898054545211 38.7547772866826, -9.15899979332514 38.7547446188675, -9.159024790459499 38.7547144114016, -9.15905503101356 38.7546872755663, -9.159083145587021 38.7546717446781, -9.159115805635791 38.7546529436824, -9.159146343863879 38.7546352558344, -9.15917265102698 38.7546204317766, -9.15920012689824 38.7546057954597, -9.159229184702751 38.7545916824409, -9.15926205495731 38.7545778839605, -9.15930451382922 38.7545640616592, -9.15933779820711 38.7545562093356, -9.15938152370356 38.7545485622685, -9.159413012349219 38.7545442371498, -9.15945169919525 38.7545395820775, -9.159495078840321 38.7545344247196, -9.15952615605757 38.7545302551193, -9.159563148680981 38.7545242052756, -9.159604573592 38.7545152061671, -9.159638616147999 38.7545052802458, -9.1596635417022 38.7544963378784, -9.15969768217456 38.7544817351618, -9.159734261572931 38.7544630062715, -9.15977324216805 38.7544394828904, -9.15980066144548 38.7544207175609, -9.159824917754779 38.7544025995245, -9.159847602012309 38.7543843855096, -9.159886172077361 38.754350700078, -9.15991469718089 38.7543237314056, -9.159937137995019 38.7543016665027, -9.15994627475976 38.7542926498526, -9.159961428440299 38.7542778698577, -9.15997173750649 38.7542680454817, -9.159986241705059 38.7542547015895, -9.159997410459001 38.754244905232, -9.160009758700911 38.7542346416124, -9.160020891522199 38.7542259514059, -9.16003193720694 38.7542178853801, -9.160039233323671 38.7542128674064, -9.160052733205781 38.7542042521551, -9.160077072160069 38.7541907856563, -9.16008935662158 38.7541848338595, -9.160103071201039 38.7541786803064, -9.160118425205861 38.754172275959, -9.160126032139679 38.7541692566263, -9.160141122039819 38.754163461749, -9.16014623345381 38.7541609993463, -9.160180134076001 38.7541481906478, -9.160207890221651 38.7541398198776, -9.160250915930501 38.7541268430453, -9.160341352923391 38.7540961347954, -9.160404504487881 38.7540736551012, -9.16047550373467 38.7540489224556, -9.160546070891829 38.7540232615823, -9.16056296658464 38.7539692725958, -9.160576665713769 38.7539147355315, -9.160581148561629 38.7539105473807, -9.16058639737677 38.7539069408099, -9.16059228958178 38.7539040000448, -9.16059868757392 38.7539017937622, -9.16060544193863 38.7539003734861, -9.16061239493887 38.7538997723849, -9.16061938419878 38.7539000044964, -9.16092024256384 38.7538994363553)"
204,894,66777,Avenida Frei Miguel Contreiras,Complementar,,Pista Ciclável Bidirecional,Executado,9196,,9ead6890-c350-471d-83d8-bf1f76bd6562,921.987332256876,"LINESTRING (-9.13136817511765 38.7463714208079, -9.13139695264776 38.7463946210607, -9.131412402021491 38.746391117786, -9.131426859303421 38.7463856113596, -9.131439901101491 38.7463782630406, -9.131477251254379 38.7463516591807, -9.131534520650369 38.7463100375578, -9.13158539943144 38.7462736173042, -9.13159587378766 38.746266114378, -9.131610241442299 38.7462557291049, -9.1316203808544 38.7462512334702, -9.13163134356409 38.7462481281809, -9.13164281884608 38.7462465012529, -9.131708242249919 38.7462426849811, -9.132125329138001 38.7462102624273, -9.1321395891717 38.7462087487772, -9.1321533810769 38.7462055426776, -9.132166376688749 38.7462007204144, -9.13217826678942 38.7461943967281, -9.13218876846563 38.7461867220844, -9.13219763184029 38.7461778790934, -9.132194593737999 38.7461360703037, -9.13219460189903 38.7461312503952, -9.13219559266461 38.7461264928267, -9.132204415917331 38.7461136840877, -9.132219449223591 38.7460966211792, -9.132227286034301 38.7460897419097, -9.13223595486863 38.7460834992575, -9.132247760528079 38.7460770773689, -9.13226019590657 38.7460724133372, -9.132272408502841 38.7460689809963, -9.13228229715749 38.7460665715616, -9.13249438580281 38.7460528751252, -9.13254565445272 38.7460495646914, -9.13391749867256 38.7459609641153, -9.134036066408591 38.7459533056181, -9.13417418597677 38.7459443845994, -9.134258557544889 38.7459368501106, -9.134379221948819 38.7459269874537, -9.13467277970557 38.7459072243022, -9.13521609156917 38.7458702559562, -9.135872265070139 38.7458256339846, -9.13600899674122 38.745816335314, -9.136385300115441 38.745790742945, -9.136450683095079 38.7457822394775, -9.136454598851399 38.7457817742635, -9.13646351463059 38.7457807352388, -9.13650934577807 38.7457757790276, -9.13657583997372 38.7457676489908, -9.136664453386601 38.7457593585103, -9.136816663928331 38.745749782384, -9.137126199120759 38.745727593623, -9.137276219569831 38.7457174268663, -9.13735939907356 38.7456956956029, -9.13738695758985 38.7456939426406, -9.13778116798092 38.7456691181123, -9.13791740737522 38.7456604142518, -9.13808241621482 38.7456496099169, -9.13819809137563 38.7456422890876, -9.138365434936659 38.7456349297231, -9.138479242500001 38.7456295342099, -9.139419125527249 38.7455682428045)"
205,898,5944,Passeio dos Jacarandás,Local,,Percurso Ciclopedonal,Executado,9196,,acfb46e0-8e68-46fa-af8c-00da51ce331f,80.7802472346546,"LINESTRING (-9.09445633271952 38.780936751062, -9.094400164658079 38.7815007383885)"
206,900,,Ponte ciclopedonal sobre a 2ª Circular,Complementar,,Percurso Ciclopedonal,Executado,9196,,6bd80770-5987-4953-b0b4-c17c3b776bfb,20.8037558557171,"LINESTRING (-9.175349469544249 38.7588094404836, -9.17529896266571 38.7586691338608)"
207,913,67531,Calçada da Estação,Principal,Alcântara - Luz,30+Bici,Executado,9196,,478ac890-15c0-48d8-943b-74fcc8a0673e,255.147713776,"LINESTRING (-9.169182194657269 38.7327115039272, -9.169206481509301 38.7326621100194, -9.16921077276143 38.7326534045734, -9.1692176242121 38.7326394701116, -9.169223513567101 38.7326274977543, -9.169256727876419 38.7325602934456, -9.169258755374001 38.7325561583005, -9.169265596044889 38.7325421551458, -9.169275700295209 38.7325214682005, -9.169282595763329 38.7325073515169, -9.16929001584759 38.7324921612755, -9.169293791466719 38.7324844333607, -9.16929888850766 38.7324739963297, -9.169303627750571 38.7324617519704, -9.169306103776011 38.7324491083424, -9.16930603011415 38.7324333806099, -9.16930487038913 38.7324252357398, -9.16930086210631 38.7324102290787, -9.1692889028606 38.7323878803995, -9.16927235081191 38.7323673918653, -9.169251665869769 38.7323493327653, -9.169240258164001 38.7323420596254, -9.169082382846071 38.7322271482601, -9.1690785694977 38.732223875727, -9.16904821183098 38.7321978096803, -9.169029352599891 38.732181558427, -9.16900152099578 38.7321575946365, -9.168961771442749 38.732123531521, -9.16895070958836 38.7321140691911, -9.168888691697781 38.7320608403216, -9.168884879247701 38.7320575642771, -9.16885473538003 38.7320316509351, -9.168815278677821 38.7319976963771, -9.168795002803529 38.7319802369698, -9.16877573753394 38.7319636661209, -9.168757073237281 38.7319476250422, -9.16869505265174 38.7318944016547, -9.16869124918483 38.731891089163, -9.16867286606087 38.7318753192621, -9.16864905082438 38.7318548850981, -9.16861370571122 38.7318244237471, -9.16857792940668 38.7317935902792, -9.168563444971049 38.7317811777023, -9.168501323774199 38.7317280277708, -9.168497540968559 38.7317249871668, -9.16847466267488 38.7317053329075, -9.16845123730724 38.7316852168407, -9.16843485293478 38.7316711455414, -9.16840298879333 38.7316438333377, -9.168371204601931 38.7316165897984, -9.168370229031551 38.7316157516864, -9.168307400860551 38.7315618293909, -9.16827563711926 38.7315315927385, -9.168248820719811 38.7314985682164, -9.168227349404381 38.7314632456425, -9.16821154163658 38.73142614892, -9.168210234587869 38.7314217025698, -9.168205563348399 38.731399880762, -9.16820369934416 38.7313775985451, -9.168204538370651 38.7313569666229, -9.168207867527091 38.7313363185772, -9.168212908872469 38.7313182100995, -9.16821907041699 38.7313022880059, -9.168235937184759 38.7312696035899)"
208,916,,Ponte ciclopedonal sobre a Radial de Benfica - Pq Calhau - S. Domingos Benfica,Local,,Percurso Ciclopedonal,Executado,9196,,88ef843f-d238-43bd-acd4-f683f370fba2,72.5407769490429,"LINESTRING (-9.17655679001474 38.7412348398157, -9.17670875801139 38.7413086124275, -9.17682243891228 38.7413621742289, -9.17681046975942 38.7413761034858, -9.176632988710409 38.7412880786646, -9.17654703341247 38.7412467343574, -9.17654105153097 38.7412438567137)"
209,917,,Ponte ciclopedonal sobre a CRIL - Bairro da Boavista - Alfragide,Local,,Percurso Ciclopedonal,Executado,9196,,76a9940a-e6ec-4a94-9b62-442793f21163,115.93961763848,"LINESTRING (-9.205948324926441 38.736474958301, -9.20607029009085 38.7362857475202, -9.206193352098261 38.7360963351319, -9.20615472993096 38.7360826886364, -9.206043168155819 38.7362526309398, -9.205948756117779 38.7363994765557)"
210,918,67499,Rua B do Bairro da Liberdade,Principal,Alcântara - Luz,Pista Ciclável Unidirecional,Executado,9196,,6757b8ef-b44e-4159-b0cc-05077d8c189f,18.9787288027606,"LINESTRING (-9.169054890805111 38.7326733304638, -9.16906886409936 38.7326772112291, -9.169106667003151 38.7326881443628, -9.16914918067228 38.7327014138016, -9.169182194657269 38.7327115039272, -9.169189017361861 38.7327135900653, -9.169213792897409 38.7327214847342)"
211,928,67048,Avenida Praia da Vitória,Local,,30+Bici,Executado,9196,,d37999ff-380e-41a9-823e-99d87a12846a,176.841633946731,"LINESTRING (-9.14303882408254 38.7340604797127, -9.142451631313911 38.7341485498805, -9.14147928856219 38.7342964137876)"
212,937,67423,Avenida 24 de Janeiro,Local,,Trilho,Executado,9196,,dcf7d0cf-eff3-4c33-a10f-5771d3db02b7,539.362421272931,"LINESTRING (-9.18465190879027 38.7333417467876, -9.18371766987792 38.7333346699575, -9.183304192420641 38.7333580531359, -9.182884552520511 38.7333761281614, -9.18267788071635 38.7333922866445, -9.18259317227999 38.733405491484, -9.18249114612161 38.73343193339, -9.18238475864249 38.733478467729, -9.182264540701301 38.7335342427456, -9.18216754331187 38.733586161529, -9.182080066267821 38.7336525800409, -9.181981302790531 38.7337427998864, -9.18190797780545 38.733821852612, -9.181832698086319 38.7339264472227, -9.181780424221619 38.7340126038375, -9.18174230241593 38.7341113932552, -9.181710804787111 38.7342908765696, -9.18169060347301 38.7345325166608, -9.181712684062701 38.7349595139033, -9.181718042513349 38.7352691551879)"
213,943,101783,Rua Branca Edmée Marques,Local,,Contrassentido,Executado,9196,,bd90b970-bdcb-4d00-afcb-881b065318d3,110.513904746643,"LINESTRING (-9.1553968836658 38.7490231481266, -9.154978299286119 38.7491531862417, -9.154965433614629 38.7491615968297, -9.15495417952072 38.7491713210235, -9.15494475349845 38.7491821724656, -9.15493733700748 38.749193941679, -9.154920366933441 38.7492062615541, -9.154901185207191 38.7492163990898, -9.154880247274541 38.7492241146853, -9.15457887686976 38.7493154119822, -9.15456385075001 38.7493205585079, -9.15455007867838 38.749327534971, -9.15453792177763 38.7493361564156, -9.15452769715306 38.7493461979523, -9.154519668011069 38.7493574031649)"
214,944,6287,Eixo Central,Principal,Circular Exterior,Percurso Ciclopedonal,Executado,9196,,b6587749-d7ab-448e-aa50-07a6c4bf84f0,256.756123446323,"LINESTRING (-9.14894978895771 38.7674406505295, -9.14896948541864 38.767593035278, -9.14898598836872 38.7677263573951, -9.14900337166778 38.7678572901753, -9.14901705839946 38.7679637050134, -9.14903144132545 38.7680763112708, -9.149047890376639 38.7682058201889, -9.14906528715043 38.7683377053365, -9.14908142179123 38.7684665028732, -9.14909816279487 38.7685950557379, -9.149112205259399 38.7687050436095, -9.14912932804704 38.7688390752522, -9.149147051807571 38.768972625471, -9.149160373823261 38.7690747536294, -9.149177469661421 38.7692068788065, -9.14918023377756 38.7692299735821)"
215,945,6287,Eixo Central,Principal,Circular Exterior,Percurso Ciclopedonal,Executado,9196,,a2b32c5d-bf44-44bb-abdd-3cbf0f604bde,576.07149797935,"LINESTRING (-9.148426232843811 38.7632508659459, -9.14846001937998 38.7635089687671, -9.1484751559925 38.7636211512796, -9.14849376369531 38.7637527871375, -9.14851020735658 38.7638820587477, -9.14852760143541 38.7640139427822, -9.148544702663489 38.7641465452277, -9.148560506724291 38.7642736776749, -9.148578526928899 38.764406748933, -9.148595979398211 38.7645426847402, -9.14860994820091 38.7646691174444, -9.148628184899479 38.7647959897989, -9.148644592628131 38.7649226405902, -9.14866044879123 38.7650533466719, -9.14867629147958 38.7651831006256, -9.148691528703409 38.7653130966927, -9.14870840265773 38.7654511824957, -9.148723568914651 38.7655761756088, -9.14873878368063 38.7657045039411, -9.14875460840266 38.7658330659851, -9.14877003337442 38.7659547195007, -9.148784986730639 38.7660861486309, -9.148799805339561 38.7662080461625, -9.148815928302261 38.7663361282108, -9.148830827759589 38.7664637449498, -9.14884603893228 38.766591834944, -9.148861564515339 38.7667206377338, -9.148878419605021 38.7668572940639, -9.14889330918084 38.7669841961474, -9.148909129411321 38.7671122810048, -9.14892468823205 38.7672434656597, -9.1489277586737 38.7672667964096)"
