,County_of_Origin,Period,AgeClassDescription,unemployed_number
706,mondim de basto,Sep-19 to Feb-20,25-34,41
707,monforte,Sep-19 to Feb-20,25-34,52
708,montalegre,Sep-19 to Feb-20,25-34,35
709,montemor-o-novo,Sep-19 to Feb-20,25-34,55
710,montemor-o-velho,Sep-19 to Feb-20,25-34,112
711,montijo,Sep-19 to Feb-20,25-34,382
712,monção,Sep-19 to Feb-20,25-34,44
713,mora,Sep-19 to Feb-20,25-34,13
714,mortágua,Sep-19 to Feb-20,25-34,27
715,moura,Sep-19 to Feb-20,25-34,180
716,mourão,Sep-19 to Feb-20,25-34,39
717,murtosa,Sep-19 to Feb-20,25-34,53
718,murça,Sep-19 to Feb-20,25-34,43
719,mértola,Sep-19 to Feb-20,25-34,30
720,nazaré,Sep-19 to Feb-20,25-34,55
721,nelas,Sep-19 to Feb-20,25-34,59
722,nisa,Sep-19 to Feb-20,25-34,28
723,norte,Sep-19 to Feb-20,25-34,20421
724,odemira,Sep-19 to Feb-20,25-34,226
725,odivelas,Sep-19 to Feb-20,25-34,552
726,oeiras,Sep-19 to Feb-20,25-34,569
727,oleiros,Sep-19 to Feb-20,25-34,10
728,olhão,Sep-19 to Feb-20,25-34,239
729,oliveira de azeméis,Sep-19 to Feb-20,25-34,217
730,oliveira de frades,Sep-19 to Feb-20,25-34,63
731,oliveira do bairro,Sep-19 to Feb-20,25-34,100
732,oliveira do hospital,Sep-19 to Feb-20,25-34,117
733,ourique,Sep-19 to Feb-20,25-34,21
734,ourém,Sep-19 to Feb-20,25-34,111
735,ovar,Sep-19 to Feb-20,25-34,310
736,palmela,Sep-19 to Feb-20,25-34,234
737,pampilhosa da serra,Sep-19 to Feb-20,25-34,9
738,paredes,Sep-19 to Feb-20,25-34,467
739,paredes de coura,Sep-19 to Feb-20,25-34,26
740,paços de ferreira,Sep-19 to Feb-20,25-34,266
741,pedrógão grande,Sep-19 to Feb-20,25-34,12
742,penacova,Sep-19 to Feb-20,25-34,33
743,penafiel,Sep-19 to Feb-20,25-34,379
744,penalva do castelo,Sep-19 to Feb-20,25-34,27
745,penamacor,Sep-19 to Feb-20,25-34,20
746,penedono,Sep-19 to Feb-20,25-34,17
747,penela,Sep-19 to Feb-20,25-34,17
748,peniche,Sep-19 to Feb-20,25-34,161
749,peso da régua,Sep-19 to Feb-20,25-34,185
750,pinhel,Sep-19 to Feb-20,25-34,33
751,pombal,Sep-19 to Feb-20,25-34,176
752,ponte da barca,Sep-19 to Feb-20,25-34,34
753,ponte de lima,Sep-19 to Feb-20,25-34,85
754,ponte de sôr,Sep-19 to Feb-20,25-34,92
755,portalegre,Sep-19 to Feb-20,25-34,113
756,portel,Sep-19 to Feb-20,25-34,37
757,portimão,Sep-19 to Feb-20,25-34,607
758,porto,Sep-19 to Feb-20,25-34,1789
759,porto de mós,Sep-19 to Feb-20,25-34,69
760,proença-a-nova,Sep-19 to Feb-20,25-34,21
761,póvoa de lanhoso,Sep-19 to Feb-20,25-34,114
762,póvoa de varzim,Sep-19 to Feb-20,25-34,353
763,redondo,Sep-19 to Feb-20,25-34,41
764,reguengos de monsaraz,Sep-19 to Feb-20,25-34,87
765,resende,Sep-19 to Feb-20,25-34,82
766,ribeira de pena,Sep-19 to Feb-20,25-34,41
767,rio maior,Sep-19 to Feb-20,25-34,67
768,sabrosa,Sep-19 to Feb-20,25-34,35
769,sabugal,Sep-19 to Feb-20,25-34,57
770,salvaterra de magos,Sep-19 to Feb-20,25-34,124
771,santa comba dão,Sep-19 to Feb-20,25-34,53
772,santa maria da feira,Sep-19 to Feb-20,25-34,697
773,santa marta de penaguião,Sep-19 to Feb-20,25-34,65
774,santarém,Sep-19 to Feb-20,25-34,219
775,santiago do cacém,Sep-19 to Feb-20,25-34,122
776,santo tirso,Sep-19 to Feb-20,25-34,316
777,sardoal,Sep-19 to Feb-20,25-34,19
778,seia,Sep-19 to Feb-20,25-34,119
779,seixal,Sep-19 to Feb-20,25-34,846
780,sernancelhe,Sep-19 to Feb-20,25-34,27
781,serpa,Sep-19 to Feb-20,25-34,145
782,sertã,Sep-19 to Feb-20,25-34,71
783,sesimbra,Sep-19 to Feb-20,25-34,209
784,setúbal,Sep-19 to Feb-20,25-34,709
785,sever do vouga,Sep-19 to Feb-20,25-34,43
786,silves,Sep-19 to Feb-20,25-34,288
787,sines,Sep-19 to Feb-20,25-34,98
788,sintra,Sep-19 to Feb-20,25-34,1555
789,sobral monte agraço,Sep-19 to Feb-20,25-34,31
790,soure,Sep-19 to Feb-20,25-34,70
791,sousel,Sep-19 to Feb-20,25-34,32
792,sátão,Sep-19 to Feb-20,25-34,81
793,são brás de alportel,Sep-19 to Feb-20,25-34,43
794,são joão da madeira,Sep-19 to Feb-20,25-34,107
795,são joão da pesqueira,Sep-19 to Feb-20,25-34,38
796,são pedro do sul,Sep-19 to Feb-20,25-34,89
797,tabuaço,Sep-19 to Feb-20,25-34,63
798,tarouca,Sep-19 to Feb-20,25-34,76
799,tavira,Sep-19 to Feb-20,25-34,116
800,terras de bouro,Sep-19 to Feb-20,25-34,51
801,tomar,Sep-19 to Feb-20,25-34,139
802,tondela,Sep-19 to Feb-20,25-34,87
803,torre de moncorvo,Sep-19 to Feb-20,25-34,64
804,torres novas,Sep-19 to Feb-20,25-34,138
805,torres vedras,Sep-19 to Feb-20,25-34,309
806,trancoso,Sep-19 to Feb-20,25-34,41
807,trofa,Sep-19 to Feb-20,25-34,173
808,tábua,Sep-19 to Feb-20,25-34,57
809,vagos,Sep-19 to Feb-20,25-34,97
810,vale de cambra,Sep-19 to Feb-20,25-34,54
811,valença,Sep-19 to Feb-20,25-34,66
812,valongo,Sep-19 to Feb-20,25-34,564
813,valpaços,Sep-19 to Feb-20,25-34,82
814,vendas novas,Sep-19 to Feb-20,25-34,40
815,viana do alentejo,Sep-19 to Feb-20,25-34,37
816,viana do castelo,Sep-19 to Feb-20,25-34,294
817,vidigueira,Sep-19 to Feb-20,25-34,50
818,vieira do minho,Sep-19 to Feb-20,25-34,86
819,vila de rei,Sep-19 to Feb-20,25-34,10
820,vila do bispo,Sep-19 to Feb-20,25-34,42
821,vila do conde,Sep-19 to Feb-20,25-34,388
822,vila flor,Sep-19 to Feb-20,25-34,44
823,vila franca de xira,Sep-19 to Feb-20,25-34,571
824,vila nova da barquinha,Sep-19 to Feb-20,25-34,31
825,vila nova de cerveira,Sep-19 to Feb-20,25-34,26
826,vila nova de famalicão,Sep-19 to Feb-20,25-34,568
827,vila nova de foz côa,Sep-19 to Feb-20,25-34,33
828,vila nova de gaia,Sep-19 to Feb-20,25-34,2003
829,vila nova de paiva,Sep-19 to Feb-20,25-34,43
830,vila nova de poiares,Sep-19 to Feb-20,25-34,24
831,vila pouca de aguiar,Sep-19 to Feb-20,25-34,58
832,vila real,Sep-19 to Feb-20,25-34,420
833,vila real de santo antónio,Sep-19 to Feb-20,25-34,131
834,vila velha de rodão,Sep-19 to Feb-20,25-34,9
835,vila verde,Sep-19 to Feb-20,25-34,217
836,vila viçosa,Sep-19 to Feb-20,25-34,39
837,vimioso,Sep-19 to Feb-20,25-34,15
838,vinhais,Sep-19 to Feb-20,25-34,41
839,viseu,Sep-19 to Feb-20,25-34,554
840,vizela,Sep-19 to Feb-20,25-34,100
841,vouzela,Sep-19 to Feb-20,25-34,54
842,águeda,Sep-19 to Feb-20,25-34,195
843,évora,Sep-19 to Feb-20,25-34,333
844,ílhavo,Sep-19 to Feb-20,25-34,235
845,óbidos,Sep-19 to Feb-20,25-34,24
846,abrantes,Sep-20 to Jan-21,25-34,283
847,aguiar da beira,Sep-20 to Jan-21,25-34,19
848,alandroal,Sep-20 to Jan-21,25-34,8
849,albergaria-a-velha,Sep-20 to Jan-21,25-34,138
850,albufeira,Sep-20 to Jan-21,25-34,1517
851,alcanena,Sep-20 to Jan-21,25-34,48
852,alcobaça,Sep-20 to Jan-21,25-34,269
853,alcochete,Sep-20 to Jan-21,25-34,113
854,alcoutim,Sep-20 to Jan-21,25-34,6
855,alcácer do sal,Sep-20 to Jan-21,25-34,55
856,alenquer,Sep-20 to Jan-21,25-34,365
857,alentejo,Sep-20 to Jan-21,25-34,3765
858,alfândega da fé,Sep-20 to Jan-21,25-34,30
859,alijó,Sep-20 to Jan-21,25-34,104
860,aljezur,Sep-20 to Jan-21,25-34,54
861,aljustrel,Sep-20 to Jan-21,25-34,61
862,almada,Sep-20 to Jan-21,25-34,1592
863,almeida,Sep-20 to Jan-21,25-34,39
864,almeirim,Sep-20 to Jan-21,25-34,123
865,almodôvar,Sep-20 to Jan-21,25-34,33
866,alpiarça,Sep-20 to Jan-21,25-34,29
867,alter do chão,Sep-20 to Jan-21,25-34,31
868,alvaiázere,Sep-20 to Jan-21,25-34,23
869,alvito,Sep-20 to Jan-21,25-34,19
870,amadora,Sep-20 to Jan-21,25-34,1933
871,amarante,Sep-20 to Jan-21,25-34,445
872,amares,Sep-20 to Jan-21,25-34,120
873,anadia,Sep-20 to Jan-21,25-34,114
874,ansião,Sep-20 to Jan-21,25-34,45
875,arcos de valdevez,Sep-20 to Jan-21,25-34,98
876,arganil,Sep-20 to Jan-21,25-34,60
877,armamar,Sep-20 to Jan-21,25-34,43
878,arouca,Sep-20 to Jan-21,25-34,103
879,arraiolos,Sep-20 to Jan-21,25-34,26
880,arronches,Sep-20 to Jan-21,25-34,9
881,arruda dos vinhos,Sep-20 to Jan-21,25-34,58
882,aveiro,Sep-20 to Jan-21,25-34,579
883,avis,Sep-20 to Jan-21,25-34,37
884,azambuja,Sep-20 to Jan-21,25-34,109
885,baião,Sep-20 to Jan-21,25-34,201
886,barcelos,Sep-20 to Jan-21,25-34,522
887,barrancos,Sep-20 to Jan-21,25-34,11
888,barreiro,Sep-20 to Jan-21,25-34,801
889,batalha,Sep-20 to Jan-21,25-34,56
890,beja,Sep-20 to Jan-21,25-34,242
891,belmonte,Sep-20 to Jan-21,25-34,39
892,benavente,Sep-20 to Jan-21,25-34,261
893,bombarral,Sep-20 to Jan-21,25-34,69
894,borba,Sep-20 to Jan-21,25-34,46
895,boticas,Sep-20 to Jan-21,25-34,38
896,braga,Sep-20 to Jan-21,25-34,1587
897,bragança,Sep-20 to Jan-21,25-34,239
898,cabeceiras de basto,Sep-20 to Jan-21,25-34,127
899,cadaval,Sep-20 to Jan-21,25-34,62
900,caldas da rainha,Sep-20 to Jan-21,25-34,372
901,caminha,Sep-20 to Jan-21,25-34,96
902,campo maior,Sep-20 to Jan-21,25-34,103
903,cantanhede,Sep-20 to Jan-21,25-34,158
904,carrazeda de ansiães,Sep-20 to Jan-21,25-34,41
905,carregal do sal,Sep-20 to Jan-21,25-34,42
906,cartaxo,Sep-20 to Jan-21,25-34,137
907,cascais,Sep-20 to Jan-21,25-34,1566
908,castanheira de pera,Sep-20 to Jan-21,25-34,18
909,castelo branco,Sep-20 to Jan-21,25-34,299
910,castelo de paiva,Sep-20 to Jan-21,25-34,117
911,castelo de vide,Sep-20 to Jan-21,25-34,17
912,castro daire,Sep-20 to Jan-21,25-34,97
913,castro marim,Sep-20 to Jan-21,25-34,57
914,castro verde,Sep-20 to Jan-21,25-34,59
915,celorico da beira,Sep-20 to Jan-21,25-34,56
916,celorico de basto,Sep-20 to Jan-21,25-34,118
917,centro,Sep-20 to Jan-21,25-34,10149
918,chamusca,Sep-20 to Jan-21,25-34,30
919,chaves,Sep-20 to Jan-21,25-34,272
920,cinfães,Sep-20 to Jan-21,25-34,155
921,coimbra,Sep-20 to Jan-21,25-34,1063
922,condeixa-a-nova,Sep-20 to Jan-21,25-34,81
923,constância,Sep-20 to Jan-21,25-34,28
924,coruche,Sep-20 to Jan-21,25-34,133
925,covilhã,Sep-20 to Jan-21,25-34,381
926,crato,Sep-20 to Jan-21,25-34,26
927,cuba,Sep-20 to Jan-21,25-34,36
928,elvas,Sep-20 to Jan-21,25-34,223
929,entroncamento,Sep-20 to Jan-21,25-34,131
930,espinho,Sep-20 to Jan-21,25-34,262
931,esposende,Sep-20 to Jan-21,25-34,151
932,estarreja,Sep-20 to Jan-21,25-34,198
933,estremoz,Sep-20 to Jan-21,25-34,98
934,fafe,Sep-20 to Jan-21,25-34,388
935,faro,Sep-20 to Jan-21,25-34,723
936,felgueiras,Sep-20 to Jan-21,25-34,478
937,ferreira do alentejo,Sep-20 to Jan-21,25-34,58
938,ferreira do zêzere,Sep-20 to Jan-21,25-34,32
939,figueira da foz,Sep-20 to Jan-21,25-34,456
940,figueira de castelo rodrigo,Sep-20 to Jan-21,25-34,45
941,figueiró dos vinhos,Sep-20 to Jan-21,25-34,30
942,fornos de algodres,Sep-20 to Jan-21,25-34,27
943,freixo espada à cinta,Sep-20 to Jan-21,25-34,41
944,fronteira,Sep-20 to Jan-21,25-34,23
945,fundão,Sep-20 to Jan-21,25-34,134
946,gavião,Sep-20 to Jan-21,25-34,14
947,golegã,Sep-20 to Jan-21,25-34,22
948,gondomar,Sep-20 to Jan-21,25-34,1650
949,gouveia,Sep-20 to Jan-21,25-34,99
950,grândola,Sep-20 to Jan-21,25-34,58
951,guarda,Sep-20 to Jan-21,25-34,247
952,guimarães,Sep-20 to Jan-21,25-34,1133
953,góis,Sep-20 to Jan-21,25-34,22
954,idanha-a-nova,Sep-20 to Jan-21,25-34,59
955,lagoa,Sep-20 to Jan-21,25-34,307
956,lagos,Sep-20 to Jan-21,25-34,406
957,lamego,Sep-20 to Jan-21,25-34,294
958,leiria,Sep-20 to Jan-21,25-34,791
959,lisboa,Sep-20 to Jan-21,25-34,5663
960,lisboa vt,Sep-20 to Jan-21,25-34,30664
961,loulé,Sep-20 to Jan-21,25-34,1122
962,loures,Sep-20 to Jan-21,25-34,2022
963,lourinhã,Sep-20 to Jan-21,25-34,163
964,lousada,Sep-20 to Jan-21,25-34,308
965,lousã,Sep-20 to Jan-21,25-34,111
966,macedo de cavaleiros,Sep-20 to Jan-21,25-34,104
967,mafra,Sep-20 to Jan-21,25-34,400
968,maia,Sep-20 to Jan-21,25-34,980
969,mangualde,Sep-20 to Jan-21,25-34,110
970,manteigas,Sep-20 to Jan-21,25-34,13
971,marco de canaveses,Sep-20 to Jan-21,25-34,466
972,marinha grande,Sep-20 to Jan-21,25-34,333
973,marvão,Sep-20 to Jan-21,25-34,18
974,matosinhos,Sep-20 to Jan-21,25-34,1450
975,mação,Sep-20 to Jan-21,25-34,24
976,mealhada,Sep-20 to Jan-21,25-34,79
977,meda,Sep-20 to Jan-21,25-34,22
978,melgaço,Sep-20 to Jan-21,25-34,39
979,mesão frio,Sep-20 to Jan-21,25-34,36
980,mira,Sep-20 to Jan-21,25-34,68
981,miranda do corvo,Sep-20 to Jan-21,25-34,59
982,miranda do douro,Sep-20 to Jan-21,25-34,34
983,mirandela,Sep-20 to Jan-21,25-34,188
984,mogadouro,Sep-20 to Jan-21,25-34,35
985,moimenta da beira,Sep-20 to Jan-21,25-34,125
986,moita,Sep-20 to Jan-21,25-34,734
987,monchique,Sep-20 to Jan-21,25-34,29
988,mondim de basto,Sep-20 to Jan-21,25-34,46
989,monforte,Sep-20 to Jan-21,25-34,45
990,montalegre,Sep-20 to Jan-21,25-34,35
991,montemor-o-novo,Sep-20 to Jan-21,25-34,63
992,montemor-o-velho,Sep-20 to Jan-21,25-34,157
993,montijo,Sep-20 to Jan-21,25-34,534
994,monção,Sep-20 to Jan-21,25-34,86
995,mora,Sep-20 to Jan-21,25-34,15
996,mortágua,Sep-20 to Jan-21,25-34,25
997,moura,Sep-20 to Jan-21,25-34,200
998,mourão,Sep-20 to Jan-21,25-34,38
999,murtosa,Sep-20 to Jan-21,25-34,56
1000,murça,Sep-20 to Jan-21,25-34,39
1001,mértola,Sep-20 to Jan-21,25-34,36
1002,nazaré,Sep-20 to Jan-21,25-34,102
1003,nelas,Sep-20 to Jan-21,25-34,84
1004,nisa,Sep-20 to Jan-21,25-34,32
1005,norte,Sep-20 to Jan-21,25-34,28232
1006,odemira,Sep-20 to Jan-21,25-34,429
1007,odivelas,Sep-20 to Jan-21,25-34,1400
1008,oeiras,Sep-20 to Jan-21,25-34,1158
1009,oleiros,Sep-20 to Jan-21,25-34,14
1010,olhão,Sep-20 to Jan-21,25-34,429
1011,oliveira de azeméis,Sep-20 to Jan-21,25-34,393
1012,oliveira de frades,Sep-20 to Jan-21,25-34,68
1013,oliveira do bairro,Sep-20 to Jan-21,25-34,127
1014,oliveira do hospital,Sep-20 to Jan-21,25-34,133
1015,ourique,Sep-20 to Jan-21,25-34,20
1016,ourém,Sep-20 to Jan-21,25-34,174
1017,ovar,Sep-20 to Jan-21,25-34,384
1018,palmela,Sep-20 to Jan-21,25-34,398
1019,pampilhosa da serra,Sep-20 to Jan-21,25-34,9
1020,paredes,Sep-20 to Jan-21,25-34,611
1021,paredes de coura,Sep-20 to Jan-21,25-34,45
1022,paços de ferreira,Sep-20 to Jan-21,25-34,358
1023,pedrógão grande,Sep-20 to Jan-21,25-34,17
1024,penacova,Sep-20 to Jan-21,25-34,47
1025,penafiel,Sep-20 to Jan-21,25-34,542
1026,penalva do castelo,Sep-20 to Jan-21,25-34,38
1027,penamacor,Sep-20 to Jan-21,25-34,22
1028,penedono,Sep-20 to Jan-21,25-34,17
1029,penela,Sep-20 to Jan-21,25-34,15
1030,peniche,Sep-20 to Jan-21,25-34,252
1031,peso da régua,Sep-20 to Jan-21,25-34,204
1032,pinhel,Sep-20 to Jan-21,25-34,35
1033,pombal,Sep-20 to Jan-21,25-34,210
1034,ponte da barca,Sep-20 to Jan-21,25-34,52
1035,ponte de lima,Sep-20 to Jan-21,25-34,167
1036,ponte de sôr,Sep-20 to Jan-21,25-34,70
1037,portalegre,Sep-20 to Jan-21,25-34,125
1038,portel,Sep-20 to Jan-21,25-34,53
1039,portimão,Sep-20 to Jan-21,25-34,965
1040,porto,Sep-20 to Jan-21,25-34,2651
1041,porto de mós,Sep-20 to Jan-21,25-34,103
1042,proença-a-nova,Sep-20 to Jan-21,25-34,29
1043,póvoa de lanhoso,Sep-20 to Jan-21,25-34,161
1044,póvoa de varzim,Sep-20 to Jan-21,25-34,446
1045,redondo,Sep-20 to Jan-21,25-34,52
1046,reguengos de monsaraz,Sep-20 to Jan-21,25-34,110
1047,resende,Sep-20 to Jan-21,25-34,100
1048,ribeira de pena,Sep-20 to Jan-21,25-34,50
1049,rio maior,Sep-20 to Jan-21,25-34,83
1050,sabrosa,Sep-20 to Jan-21,25-34,38
1051,sabugal,Sep-20 to Jan-21,25-34,55
1052,salvaterra de magos,Sep-20 to Jan-21,25-34,129
1053,santa comba dão,Sep-20 to Jan-21,25-34,59
1054,santa maria da feira,Sep-20 to Jan-21,25-34,946
1055,santa marta de penaguião,Sep-20 to Jan-21,25-34,66
1056,santarém,Sep-20 to Jan-21,25-34,284
1057,santiago do cacém,Sep-20 to Jan-21,25-34,140
1058,santo tirso,Sep-20 to Jan-21,25-34,412
1059,sardoal,Sep-20 to Jan-21,25-34,24
1060,seia,Sep-20 to Jan-21,25-34,116
1061,seixal,Sep-20 to Jan-21,25-34,1467
1062,sernancelhe,Sep-20 to Jan-21,25-34,34
1063,serpa,Sep-20 to Jan-21,25-34,134
1064,sertã,Sep-20 to Jan-21,25-34,82
1065,sesimbra,Sep-20 to Jan-21,25-34,292
1066,setúbal,Sep-20 to Jan-21,25-34,1055
1067,sever do vouga,Sep-20 to Jan-21,25-34,43
1068,silves,Sep-20 to Jan-21,25-34,505
1069,sines,Sep-20 to Jan-21,25-34,140
1070,sintra,Sep-20 to Jan-21,25-34,3475
1071,sobral monte agraço,Sep-20 to Jan-21,25-34,54
1072,soure,Sep-20 to Jan-21,25-34,84
1073,sousel,Sep-20 to Jan-21,25-34,36
1074,sátão,Sep-20 to Jan-21,25-34,74
1075,são brás de alportel,Sep-20 to Jan-21,25-34,71
1076,são joão da madeira,Sep-20 to Jan-21,25-34,186
1077,são joão da pesqueira,Sep-20 to Jan-21,25-34,39
1078,são pedro do sul,Sep-20 to Jan-21,25-34,113
1079,tabuaço,Sep-20 to Jan-21,25-34,58
1080,tarouca,Sep-20 to Jan-21,25-34,71
1081,tavira,Sep-20 to Jan-21,25-34,218
1082,terras de bouro,Sep-20 to Jan-21,25-34,48
1083,tomar,Sep-20 to Jan-21,25-34,187
1084,tondela,Sep-20 to Jan-21,25-34,121
1085,torre de moncorvo,Sep-20 to Jan-21,25-34,68
1086,torres novas,Sep-20 to Jan-21,25-34,141
1087,torres vedras,Sep-20 to Jan-21,25-34,508
1088,trancoso,Sep-20 to Jan-21,25-34,27
1089,trofa,Sep-20 to Jan-21,25-34,235
1090,tábua,Sep-20 to Jan-21,25-34,63
1091,vagos,Sep-20 to Jan-21,25-34,140
1092,vale de cambra,Sep-20 to Jan-21,25-34,81
1093,valença,Sep-20 to Jan-21,25-34,106
1094,valongo,Sep-20 to Jan-21,25-34,817
1095,valpaços,Sep-20 to Jan-21,25-34,77
1096,vendas novas,Sep-20 to Jan-21,25-34,60
1097,viana do alentejo,Sep-20 to Jan-21,25-34,43
1098,viana do castelo,Sep-20 to Jan-21,25-34,487
1099,vidigueira,Sep-20 to Jan-21,25-34,62
1100,vieira do minho,Sep-20 to Jan-21,25-34,82
1101,vila de rei,Sep-20 to Jan-21,25-34,15
1102,vila do bispo,Sep-20 to Jan-21,25-34,74
1103,vila do conde,Sep-20 to Jan-21,25-34,531
1104,vila flor,Sep-20 to Jan-21,25-34,47
1105,vila franca de xira,Sep-20 to Jan-21,25-34,1161
1106,vila nova da barquinha,Sep-20 to Jan-21,25-34,43
1107,vila nova de cerveira,Sep-20 to Jan-21,25-34,53
1108,vila nova de famalicão,Sep-20 to Jan-21,25-34,831
1109,vila nova de foz côa,Sep-20 to Jan-21,25-34,43
1110,vila nova de gaia,Sep-20 to Jan-21,25-34,3174
1111,vila nova de paiva,Sep-20 to Jan-21,25-34,40
1112,vila nova de poiares,Sep-20 to Jan-21,25-34,45
1113,vila pouca de aguiar,Sep-20 to Jan-21,25-34,70
1114,vila real,Sep-20 to Jan-21,25-34,470
1115,vila real de santo antónio,Sep-20 to Jan-21,25-34,238
1116,vila velha de rodão,Sep-20 to Jan-21,25-34,9
1117,vila verde,Sep-20 to Jan-21,25-34,280
1118,vila viçosa,Sep-20 to Jan-21,25-34,40
1119,vimioso,Sep-20 to Jan-21,25-34,20
1120,vinhais,Sep-20 to Jan-21,25-34,40
1121,viseu,Sep-20 to Jan-21,25-34,716
1122,vizela,Sep-20 to Jan-21,25-34,167
1123,vouzela,Sep-20 to Jan-21,25-34,67
1124,águeda,Sep-20 to Jan-21,25-34,257
1125,évora,Sep-20 to Jan-21,25-34,492
1126,ílhavo,Sep-20 to Jan-21,25-34,309
1127,óbidos,Sep-20 to Jan-21,25-34,54
1128,abrantes,Sep-19 to Feb-20,35-44,582
1129,aguiar da beira,Sep-19 to Feb-20,35-44,43
1130,alandroal,Sep-19 to Feb-20,35-44,72
1131,albergaria-a-velha,Sep-19 to Feb-20,35-44,204
1132,albufeira,Sep-19 to Feb-20,35-44,1278
1133,alcanena,Sep-19 to Feb-20,35-44,84
1134,alcobaça,Sep-19 to Feb-20,35-44,348
1135,alcochete,Sep-19 to Feb-20,35-44,187
1136,alcoutim,Sep-19 to Feb-20,35-44,11
1137,alcácer do sal,Sep-19 to Feb-20,35-44,89
1138,alenquer,Sep-19 to Feb-20,35-44,476
1139,alentejo,Sep-19 to Feb-20,35-44,6180
1140,alfândega da fé,Sep-19 to Feb-20,35-44,75
1141,alijó,Sep-19 to Feb-20,35-44,211
1142,aljezur,Sep-19 to Feb-20,35-44,71
1143,aljustrel,Sep-19 to Feb-20,35-44,96
1144,almada,Sep-19 to Feb-20,35-44,2220
1145,almeida,Sep-19 to Feb-20,35-44,36
1146,almeirim,Sep-19 to Feb-20,35-44,222
1147,almodôvar,Sep-19 to Feb-20,35-44,71
1148,alpiarça,Sep-19 to Feb-20,35-44,53
1149,alter do chão,Sep-19 to Feb-20,35-44,50
1150,alvaiázere,Sep-19 to Feb-20,35-44,41
1151,alvito,Sep-19 to Feb-20,35-44,24
1152,amadora,Sep-19 to Feb-20,35-44,1686
1153,amarante,Sep-19 to Feb-20,35-44,782
1154,amares,Sep-19 to Feb-20,35-44,196
1155,anadia,Sep-19 to Feb-20,35-44,175
1156,ansião,Sep-19 to Feb-20,35-44,82
1157,arcos de valdevez,Sep-19 to Feb-20,35-44,161
1158,arganil,Sep-19 to Feb-20,35-44,121
1159,armamar,Sep-19 to Feb-20,35-44,89
1160,arouca,Sep-19 to Feb-20,35-44,167
1161,arraiolos,Sep-19 to Feb-20,35-44,49
1162,arronches,Sep-19 to Feb-20,35-44,28
1163,arruda dos vinhos,Sep-19 to Feb-20,35-44,118
1164,aveiro,Sep-19 to Feb-20,35-44,994
1165,avis,Sep-19 to Feb-20,35-44,47
1166,azambuja,Sep-19 to Feb-20,35-44,190
1167,baião,Sep-19 to Feb-20,35-44,412
1168,barcelos,Sep-19 to Feb-20,35-44,790
1169,barrancos,Sep-19 to Feb-20,35-44,44
1170,barreiro,Sep-19 to Feb-20,35-44,1225
1171,batalha,Sep-19 to Feb-20,35-44,97
1172,beja,Sep-19 to Feb-20,35-44,455
1173,belmonte,Sep-19 to Feb-20,35-44,80
1174,benavente,Sep-19 to Feb-20,35-44,376
1175,bombarral,Sep-19 to Feb-20,35-44,87
1176,borba,Sep-19 to Feb-20,35-44,87
1177,boticas,Sep-19 to Feb-20,35-44,48
1178,braga,Sep-19 to Feb-20,35-44,2721
1179,bragança,Sep-19 to Feb-20,35-44,364
1180,cabeceiras de basto,Sep-19 to Feb-20,35-44,291
1181,cadaval,Sep-19 to Feb-20,35-44,92
1182,caldas da rainha,Sep-19 to Feb-20,35-44,451
1183,caminha,Sep-19 to Feb-20,35-44,124
1184,campo maior,Sep-19 to Feb-20,35-44,160
1185,cantanhede,Sep-19 to Feb-20,35-44,270
1186,carrazeda de ansiães,Sep-19 to Feb-20,35-44,84
1187,carregal do sal,Sep-19 to Feb-20,35-44,80
1188,cartaxo,Sep-19 to Feb-20,35-44,209
1189,cascais,Sep-19 to Feb-20,35-44,2479
1190,castanheira de pera,Sep-19 to Feb-20,35-44,24
1191,castelo branco,Sep-19 to Feb-20,35-44,548
1192,castelo de paiva,Sep-19 to Feb-20,35-44,228
1193,castelo de vide,Sep-19 to Feb-20,35-44,21
1194,castro daire,Sep-19 to Feb-20,35-44,204
1195,castro marim,Sep-19 to Feb-20,35-44,63
1196,castro verde,Sep-19 to Feb-20,35-44,69
1197,celorico da beira,Sep-19 to Feb-20,35-44,75
1198,celorico de basto,Sep-19 to Feb-20,35-44,265
1199,centro,Sep-19 to Feb-20,35-44,16687
1200,chamusca,Sep-19 to Feb-20,35-44,73
1201,chaves,Sep-19 to Feb-20,35-44,527
1202,cinfães,Sep-19 to Feb-20,35-44,332
1203,coimbra,Sep-19 to Feb-20,35-44,1579
1204,condeixa-a-nova,Sep-19 to Feb-20,35-44,145
1205,constância,Sep-19 to Feb-20,35-44,51
1206,coruche,Sep-19 to Feb-20,35-44,216
1207,covilhã,Sep-19 to Feb-20,35-44,467
1208,crato,Sep-19 to Feb-20,35-44,40
1209,cuba,Sep-19 to Feb-20,35-44,71
1210,elvas,Sep-19 to Feb-20,35-44,419
1211,entroncamento,Sep-19 to Feb-20,35-44,192
1212,espinho,Sep-19 to Feb-20,35-44,569
1213,esposende,Sep-19 to Feb-20,35-44,244
1214,estarreja,Sep-19 to Feb-20,35-44,275
1215,estremoz,Sep-19 to Feb-20,35-44,121
1216,fafe,Sep-19 to Feb-20,35-44,645
1217,faro,Sep-19 to Feb-20,35-44,578
1218,felgueiras,Sep-19 to Feb-20,35-44,637
1219,ferreira do alentejo,Sep-19 to Feb-20,35-44,94
